start	end	text
0	6540	Ich freue mich sehr, heute die komplexe Thematik der Service-Dominant-Logic erklären zu dürfen.
7500	18210	Service-Dominant-Logic bedeutet, egal was ein Unternehmen verkauft, es geht um den Nutzen oder den Service, den eine Leistung spendet.
18210	33550	Am Beispiel des Krankenhauses. Ein Krankenhaus liefert höchste medizinische Versorgung versus die Menschen verlassen einen Gesundheitsdienstleister mit einer besseren Lebensqualität.
34510	45080	Die Service-Dominant-Logic basiert auf zehn fundamentalen Prämissen, wovon ich gerne im Folgenden die aus meiner Sicht vier wichtigsten näher erklären möchte.
45460	47840	Fundamentale Prämisse Nummer eins.
48180	53660	Die Basis eines jeden Leistungsaustausches ist Service gegen Service.
53660	67480	Der Service von Tesla. Elektromobilität, ressourcenschonend, mit einem flächendeckenden Strom-Tankstellennetzwerk, komfortabel.
68780	75820	Der Service, den der Kunde liefert, ist dafür zu bezahlen im Anschaffungspreis.
75820	79380	Aber auch die Gebühren für die Leistung.
79380	85020	Die Strom-Tankstellen natürlich zu entrichten, beziehungsweise Daten zu liefern.
86800	89010	Fundamentale Prämisse Nummer zwei.
89510	93470	Der Kunde ist immer Mitgestalter des Wertes.
93510	98850	Das heißt, es kommt sehr stark darauf an, wie er das Auto nutzt.
100220	103820	Ob er entsprechend plant.
105010	108350	Ob er sich traut, den Autopilot zu nutzen.
108350	111530	Ob er dieses flächendeckende Strom nähert.
111530	113390	Ob er das Netzwerk tatsächlich in Anspruch nimmt.
113790	120170	Ob er sich in die Software einarbeitet und alle Finessen zu nutzen weiß.
120550	125490	Ob er sich in die Tesla Community einbringt und dort neue Menschen kennenlernt.
127660	134580	All diese Faktoren beeinflussen den Wert, den der Kunde verspürt.
134760	139320	Das heißt, es gibt keinen objektiven Wert eines Autos Tesla.
140040	142570	Fundamentale Prämisse Nummer drei.
142570	147270	Alle Akteure sind Ressourcen, Integratoren.
147270	152010	Wir sprechen von sogenannten Operanten-Ressourcen mit T.
152110	155730	Das ist Wissen, die Batterietechnologie zum Beispiel.
156110	163550	Software, Autopilot, aber auch eine Philosophie.
163550	170250	Und von sogenannten Operanden-Ressourcen, in unserem Fall im wesentlichen Zeit und Geld.
170490	172610	Die Ressourcen, die Tesla nutzt, sind natürlich die Ressourcen, die Tesla nutzt.
172610	173510	Die Ressourcen, die Tesla nutzt, sind natürlich die Ressourcen, die Tesla nutzt.
173510	174030	Die Ressourcen, die Tesla nutzt, sind natürlich Zulieferer.
174490	185070	Es sind aber auch Energieversorger, die das flächendeckende Strom-Tankstellen-Netzwerk zur Verfügung stellen.
185490	192230	Es ist Spotify, die Musikplattform, die übrigens sehr zu empfehlen ist im Tesla.
192490	200790	Es sind aber auch staatliche Ressourcen, Steuererleichterungen, Subventionen.
200970	215040	Die Ressourcen, die der Kunde einbringt, sind seine Planungsfähigkeiten, seine Bereitschaft, sich auf den Gedanken einzulassen, je langsamer man fährt, desto früher kommt man an.
215040	220620	Seine Bereitschaft, auch Softwarefehler zu verzeihen.
221000	230380	Seine Compliance, das heißt den Autopiloten tatsächlich so zu nutzen, wie er gedacht ist und nicht während des Fahrens zu schlafen oder Filme zu gucken.
230380	238940	Oder auch sich tatsächlich in diese Tesla Community einzubringen.
238940	242750	Fundamentale Prämisse Nummer 3.
246280	247760	Fundamentale Prämisse Nummer 4.
247980	254580	Der Wert der Leistung wird ausschließlich durch den Kunden bestimmt.
254580	259080	Lassen Sie mich das an folgendem Beispiel näher erläutern.
259080	264780	Ein Tesla-Fahrer macht mit seiner geliebten Partnerin eine Spritztour.
264780	270320	Und macht ihr während dieser Autofahrt einen Heiratsantrag.
270520	276040	Die Partnerin nimmt diesen Heiratsantrag an und die beiden heiraten.
276040	283740	Für diesen Tesla-Fahrer wird das Auto Tesla für immer mit einer positiven Erfahrung verbunden sein.
283740	293160	Versus ein Tesla-Fahrer bleibt auf der Autobahn liegen, muss vom Abschleppdienst zur nächsten Stromtankstelle geschleppt werden,
293520	300520	verpasst einen wichtigen Vorstellungstermin und verliert möglicherweise seinen Traumjob.
300520	308280	Für diesen Tesla-Fahrer ist das Auto mit einer negativen Erfahrung verbunden.
308760	314330	Lassen Sie mich die wichtigsten Punkte der Service Dominant Logic noch einmal zusammenfassen.
314330	318030	Ich möchte anfangen mit einem falschen Denken über Produkte.
319390	323670	Wir kaufen Produkte nicht wegen ihrer produktspezifischen Eigenschaften.
323670	327950	Sondern weil sie uns einen Nutzen stiften, eben diesen Service.
327950	334070	Wir kaufen Produkte, weil sie uns sogenannte Intangibles liefern.
334070	344990	Also etwas nicht Greifbares, wie der Zugang zu einer Community, die Marke an sich, den Status, den wir erreichen, wenn wir ein bestimmtes Produkt nutzen.
344990	350120	Wir kaufen Produkte, weil wir damit eine ganzheitliche Erfahrung machen.
350240	356070	Ein falsches Denken über Services wäre folgendes.
356070	364590	Services sind eine eigene Produktkategorie e. v. mit einem immateriell Leistungsergebnis.
364590	367830	E.V. ein Beratungsgespräch.
368920	380220	Oder Services sind allenfalls ein Anhängsel für Produkte, im Sinne von Value-Added-Services.
380240	383240	Aber keinesfalls einusted Services.
383240	392380	im Vordergrund zu sehen. Ein aus der Service-Dominant-Logic richtiges Denken über Service wäre das
392380	401770	folgende. Service ist ein Prozess. Es werden Ressourcen eines Akteurs zum Nutzen eines anderen
401770	414190	Akteurs integriert. Service oder andersrum gesprochen, ein Produkt ist ein Vehikel für
414190	423070	Service. Die Philosophie wird umgedreht und am Ende ist auch der Kunde als Leistungsnehmer
423070	429720	ein Service-Provider. Vielen Dank für die Aufmerksamkeit.
