start	end	text
0	440	Ich
440	720	freue
720	920	mich
920	1320	sehr,
1400	1640	heute
1640	1840	die
1840	2600	komplexe
2600	3240	Thematik
3240	3460	der
3460	4880	Service-Dominant-Logic
4880	5500	[*]
5500	5760	erklären
5760	6160	zu
6160	6540	dürfen.
7500	7870	[*]
7870	9250	Service-Dominant-Logic
9250	9830	[*]
9830	10130	bedeutet,
10530	10970	egal
10970	11410	was
11410	11590	ein
11590	12010	Unternehmen
12010	12830	verkauft,
12930	13150	es
13150	13390	geht
13390	13570	um
13570	13790	den
13790	14370	Nutzen
14370	14770	oder
14770	14970	den
14970	15490	Service,
15490	15790	[*]
15790	16330	den
16330	16470	eine
16470	17270	Leistung
17270	18210	spendet.
18210	19230	[*]
19230	19490	Am
19490	19850	Beispiel
19850	20070	des
20070	20990	Krankenhauses.
21050	21410	Ein
21410	22130	Krankenhaus
22130	22790	liefert
22790	23130	[*]
23130	24270	höchste
24270	24850	medizinische
24850	25750	Versorgung
25750	26350	[*]
26350	26530	versus
26530	27570	[*]
27570	27830	die
27830	28070	[*]
28070	28210	Menschen
28210	28850	verlassen
28850	29130	[*]
29130	29250	einen
29250	29530	[*]
29530	31190	Gesundheitsdienstleister
31190	31430	mit
31430	31610	einer
31610	32150	besseren
32150	33550	Lebensqualität.
34510	35000	Die
35000	36160	Service-Dominant-Logic
36160	36680	basiert
36680	36880	auf
36880	37180	zehn
37180	37480	[*]
37480	38440	fundamentalen
38440	38960	Prämissen,
39120	40080	wovon
40080	40140	ich
40140	40300	[*]
40300	40440	gerne
40440	40600	im
40600	41180	Folgenden
41180	41440	die
41440	41600	aus
41600	42060	meiner
42060	42380	Sicht
42380	42740	vier
42740	43620	wichtigsten
43620	44340	näher
44340	44540	erklären
44540	44820	[*]
44820	45080	möchte.
45460	46680	Fundamentale
46680	47120	Prämisse
47120	47400	Nummer
47400	47840	eins.
48180	48680	Die
48680	49260	Basis
49260	49540	eines
49540	49920	jeden
49920	51720	Leistungsaustausches
51720	52020	ist
52020	52500	Service
52500	53180	gegen
53180	53200	[*]
53200	53660	Service.
53660	53960	[*]
53960	54660	Der
54660	55000	Service
55000	55220	von
55220	55380	[*]
55380	55600	Tesla.
